index,Finnish,frequency,English
0,on,4061285,is
1,ei,2202943,No
2,ja,2030141,and
3,se,1832599,it
4,hän,1742472,he
5,en,1302578,I do not
6,mitä,1274168,what
7,että,1154325,that
8,ole,1017478,be
9,olen,794682,I am
10,oli,777942,was
11,niin,770792,so
12,mutta,754540,but
13,sen,675541,its
14,vain,671545,only
15,minä,630595,I
16,jos,611024,if
17,tämä,575732,this
18,nyt,568091,now
19,voi,553174,butter
20,sinä,544004,you
21,olet,527976,are
22,kun,512137,when
23,sitä,468225,the
24,kuin,456675,than
25,he,411738,they
26,hänen,401908,his
27,täällä,399497,here
28,olla,383098,be
29,et,380434,you don't
30,kaikki,380110,all
31,minun,376290,my
32,ovat,373478,have
33,hyvä,370969,good
34,minua,351952,me
35,sitten,343335,then
36,onko,342832,whether
37,miksi,324294,why
38,sinua,323668,you
39,miten,321956,how
40,sinun,312335,your
41,älä,309051,area
42,siitä,306378,thence
43,hänet,304871,him
44,mitään,302364,anything
45,kyllä,300567,Yes
46,kiitos,296179,thank you
47,hei,285236,Hey
48,mikä,278249,What
49,olisi,272425,would
50,ne,269283,they
51,kanssa,263029,with
52,pitää,255907,keep
53,joka,252766,which
54,ollut,250864,have
55,tai,238818,or
56,häntä,236098,him
57,tässä,234809,here
58,tiedä,232593,know
59,minulle,228474,to me
60,minulla,227466,I have
61,jotain,224557,something
62,ehkä,216330,perhaps
63,missä,214749,where
64,tuo,212926,that
65,minut,212612,me
66,me,205802,we
67,oletko,203486,are you
68,kuka,202936,Who
69,hyvin,201168,very
70,anteeksi,200673,Sorry
71,vielä,199312,yet
72,tämän,199017,this
73,sinut,198373,thee
74,sinulle,198368,for you
75,jo,195702,already
76,koska,194259,because
77,haluan,189389,i want
78,olemme,187519,are
79,tiedän,186231,i know
80,tehdä,184229,make
81,tänne,184103,here
82,meidän,183661,our
83,emme,179170,we do not
84,saa,169426,weather
85,tule,167081,Come
86,paljon,166412,a lot
87,siellä,161876,there
88,anna,160520,give
89,eivät,157873,not
90,tätä,156739,this
91,pois,156547,off
92,ennen,156488,before
93,sinulla,155663,you
94,täytyy,151741,must
95,aina,151468,always
96,tulee,150555,will
97,siinä,149799,there
98,enää,143207,any more
99,eikö,141945,not
100,takaisin,141504,back
101,herra,140844,Mr.
